country,iso3,year,gdp_per_capita_constant_2015_usd,population_density_per_km2,urbanization_percent,passenger_cars_per_1000,motorization_source
France,FRA,2014,36444.3949089146,123.039367288246,77.3524296788613,534.4,OECD/ITF
France,FRA,2015,36702.4323733379,123.477636144355,77.7610919150066,539.78,OECD/ITF
France,FRA,2016,36920.5342846914,123.803885332591,78.5999114705779,545.41,OECD/ITF
France,FRA,2017,37580.5979329356,124.163688653864,78.6467804026368,550.86,OECD/ITF
France,FRA,2018,38062.4435961412,124.609607570276,78.6714432536599,552.81,OECD/ITF
France,FRA,2019,38705.2072940618,125.024698023935,78.6890784549356,552.41,OECD/ITF
France,FRA,2020,35709.2045925926,125.431134613601,78.7119131765249,549.92,OECD/ITF
France,FRA,2021,38030.8571685178,125.879601076167,78.7364603392338,553.89,OECD/ITF
France,FRA,2022,38868.3303330557,126.513511457464,78.7591921123356,554.66,OECD/ITF
France,FRA,2023,39319.4152227295,126.862020595603,78.7804323126547,555.67,OECD/ITF
France,FRA,2024,39683.3953489029,,78.7999750964116,561.12,OECD/ITF
United Kingdom,GBR,1970,19524.6865159129,230.079981812921,76.9181556673291,,
United Kingdom,GBR,1971,19833.0569103608,231.042958707064,76.9023108087531,,
United Kingdom,GBR,1972,20482.7111067345,231.82765676022,76.9664092010843,,
United Kingdom,GBR,1973,21938.2937939268,232.275976522134,77.1097588679539,,
United Kingdom,GBR,1974,21556.1992721976,232.422494109866,77.3109917306611,,
United Kingdom,GBR,1975,21411.8812069663,232.405241185467,77.5493534649081,,
United Kingdom,GBR,1976,22017.8273799837,232.348067622866,77.8040897463968,,
United Kingdom,GBR,1977,22545.596298244,232.271698425164,78.0544462508291,,
United Kingdom,GBR,1978,23311.6577053372,232.284148307362,78.279668653907,,
United Kingdom,GBR,1979,23930.4936898844,232.492667300459,78.4590026313326,,
United Kingdom,GBR,1980,23381.0626649925,232.770702269251,78.5716938588077,,
United Kingdom,GBR,1981,23063.5915396279,232.85177117348,78.5988698930662,,
United Kingdom,GBR,1982,23554.7695677663,232.768325548712,78.5790435793683,,
United Kingdom,GBR,1983,24400.1538085665,232.847716281569,78.5365448356556,,
United Kingdom,GBR,1984,25012.2474056338,233.216517174389,78.4775775496664,,
United Kingdom,GBR,1985,25853.7914666851,233.746405985202,78.4080567918043,,
United Kingdom,GBR,1986,26828.9203252802,234.288414004051,78.3338976324727,,
United Kingdom,GBR,1987,27993.289860294,234.787128508246,78.2610151420751,,
United Kingdom,GBR,1988,29336.7220502717,235.3090852726,78.1953243910149,,
United Kingdom,GBR,1989,29928.0161928787,235.92241970818,78.1427404496957,,
United Kingdom,GBR,1990,30071.2085616955,236.628719050965,78.1091783885209,,
United Kingdom,GBR,1991,29590.9054053428,237.361621130079,78.1020654236402,,
United Kingdom,GBR,1992,29893.0776793743,238.0043896995,78.1549335902337,,
United Kingdom,GBR,1993,30862.4118121654,238.575678915389,78.2748023147801,,
United Kingdom,GBR,1994,32308.7952722115,239.183834166908,78.4474219748331,376.15,OECD/ITF
United Kingdom,GBR,1995,33362.0161272507,239.817426528335,78.6591002712985,378.86,OECD/ITF
United Kingdom,GBR,1996,34147.3459054033,240.428843053776,78.8961449050823,392.82,OECD/ITF
United Kingdom,GBR,1997,35721.6105928791,241.048873641136,79.1448635770901,402.61,OECD/ITF
United Kingdom,GBR,1998,36773.9287790406,241.752329186128,79.391563988228,409.47,OECD/ITF
United Kingdom,GBR,1999,37730.7155591161,242.559690819659,79.6225538394017,420.13,OECD/ITF
United Kingdom,GBR,2000,39297.1366317267,243.427908899268,79.8241408315172,426.05,OECD/ITF
United Kingdom,GBR,2001,40082.1359356822,244.366854048692,79.9838301298823,437.03,OECD/ITF
United Kingdom,GBR,2002,40594.932929345,245.40354234696,80.1146062677742,446.57,OECD/ITF
United Kingdom,GBR,2003,41706.8303930126,246.548906708552,80.2331593332802,452.84,OECD/ITF
United Kingdom,GBR,2004,42434.8209023638,247.955627660894,80.3423284929998,463.83,OECD/ITF
United Kingdom,GBR,2005,43320.5628684438,249.663977183483,80.4455938127627,469.26,OECD/ITF
United Kingdom,GBR,2006,43944.9985799069,251.50589013351,80.5464353583991,470.54,OECD/ITF
United Kingdom,GBR,2007,44882.141312304,253.471925763651,80.6483331957387,470.32,OECD/ITF
United Kingdom,GBR,2008,44508.2874631479,255.474703426611,80.7547673906116,469.49,OECD/ITF
United Kingdom,GBR,2009,42146.5095879962,257.414417393461,80.8692180088478,467.41,OECD/ITF
United Kingdom,GBR,2010,42762.720840223,259.440189310958,80.995165116277,466.65,OECD/ITF
United Kingdom,GBR,2011,42791.0934313474,261.475674781962,81.1359685592627,463.78,OECD/ITF
United Kingdom,GBR,2012,43136.7006795996,263.344769148101,81.2905667759508,464.61,OECD/ITF
United Kingdom,GBR,2013,43585.8731772281,265.109742487496,81.4573768694887,468.23,OECD/ITF
United Kingdom,GBR,2014,44628.5724578217,267.097920886207,81.6355750750722,472.2,OECD/ITF
United Kingdom,GBR,2015,45256.040227057,269.032364733601,81.8243772295647,478.9,OECD/ITF
United Kingdom,GBR,2016,45888.7099614563,271.177613359236,82.0229991698295,484.59,OECD/ITF
United Kingdom,GBR,2017,47019.4510419999,272.657380233952,82.23065673273,487.52,OECD/ITF
United Kingdom,GBR,2018,47516.2099770322,273.992477162816,82.4465657551295,490.18,OECD/ITF
United Kingdom,GBR,2019,47866.9140354078,275.401975778118,82.6699420738913,493.53,OECD/ITF
United Kingdom,GBR,2020,42985.0392148248,275.864919604844,82.9000015258789,489.89,OECD/ITF
United Kingdom,GBR,2021,46491.5068836685,276.848675236639,82.9886431523641,491.0,OECD/ITF
United Kingdom,GBR,2022,48410.095170282,279.568470218658,83.0753982997505,490.91,OECD/ITF
United Kingdom,GBR,2023,47911.1540134832,283.247220270326,83.1601932891335,490.28,OECD/ITF
United Kingdom,GBR,2024,47900.9680144146,,83.2429544416085,490.66,OECD/ITF
Italy,ITA,1970,15813.2011158569,182.999047975247,64.4584859539895,,
Italy,ITA,1971,16025.7748802391,183.854646220802,64.8011235401742,,
Italy,ITA,1972,16523.1331589998,184.901380435891,65.0952520132444,,
Italy,ITA,1973,17580.9120841639,186.159620550134,65.3818598204908,,
Italy,ITA,1974,18426.9080027171,187.381823127401,65.6630191855156,,
Italy,ITA,1975,17934.3228648852,188.504304511917,65.93180430874,,
Italy,ITA,1976,19116.6107624269,189.44700962225,66.1812893905852,,
Italy,ITA,1977,19522.996928617,190.253343986944,66.4045486314727,,
Italy,ITA,1978,20083.8802093996,190.932450443712,66.5946562318235,,
Italy,ITA,1979,21219.2669637857,191.485325218456,66.7446863920592,,
Italy,ITA,1980,21901.9268708549,191.880191084968,66.8477133126008,,
Italy,ITA,1981,22060.3287067697,192.110689877937,66.8957067261538,,
Italy,ITA,1982,22135.1628545397,192.253061779606,66.8973453437563,,
Italy,ITA,1983,22385.8416028019,192.322851994152,66.8849239308828,,
Italy,ITA,1984,23102.8115427941,192.365842711911,66.8645181676116,,
Italy,ITA,1985,23742.3854949723,192.421444357553,66.838537979828,,
Italy,ITA,1986,24420.0802858599,192.431930230186,66.8093932934176,,
